Link,Size (KB),# of Outlinks,Content Type
https://www.foxnews.com/lifestyle/meet-american-first-paid-professional-football-player-pudge-heffelfinger.amp,197.8837890625,198,text/html
https://www.foxnews.com/lifestyle/meet-american-battle-hymn-republic,284.8310546875,331,text/html
https://www.foxnews.com/category/topic/world-war-one,105.1083984375,339,text/html
https://www.foxnews.com/lifestyle/meet-american-shaped-modern-football-walter-camp-pigskin-pioneer,293.494140625,337,text/html
https://www.foxnews.com/video/6316420204112,61.025390625,74,text/html
https://www.foxnews.com/lifestyle/meet-american-gave-nation-thanksgiving-origin-story,302.0888671875,329,text/html
https://www.foxnews.com/category/sports/ncaa/yale-bulldogs,104.337890625,339,text/html
https://www.foxnews.com/video/topics/special,300.0,120,text/html
https://www.foxnews.com/video/topics/auto,299.9267578125,120,text/html
https://www.foxnews.com/sports/nascar-legend-jimmie-johnson-retires-full-time-racing,211.81640625,321,text/html
https://www.foxnews.com/sports/nascar-legend-richard-petty-takes-issue-team-owners-moves-strange.amp,128.9765625,184,text/html
https://www.foxnews.com/video/topics/politics/house-of-representatives,322.20703125,122,text/html
https://www.foxnews.com/category/world/world-regions/cuba,105.541015625,339,text/html
https://www.foxnews.com/video/topics/politics/elections,311.6513671875,122,text/html
https://www.foxnews.com/video/topics/us/us-regions/northeast/new-york,293.7734375,122,text/html
https://www.foxnews.com/sports/seven-time-cup-series-champion-jimmie-johnson-headlines-nominees-nascar-hall-of-fame.amp,124.03125,183,text/html
https://www.foxnews.com/sports/body-cam-captures-final-gunshot-apparent-murder-suicide-nascar-driver-jimmie-johnsons-in-laws-nephew.amp,131.6982421875,185,text/html
